referral_episode_id,event_id,session_type,first_timestamp,last_timestamp,car_numbers,car_count,location,incident_family,incident_lap_explicit,message_lap_min,message_lap_max,process_statuses,terminal_status,message_count,messages_json,episode_review_status,linked_to_primary_adjudication
referral-3b54a9af5d08eb01,2018-ita,Race,2018-09-02 07:18:59-07:00,2018-09-02 07:18:59-07:00,33,1,,causing_collision,,45,45,sanction_announced,sanction_announced,1,"[""5 SECOND TIME PENALTY FOR CAR 33 (VER) - CAUSING A COLLISION""]",algorithmic_pending_human_validation,False
referral-b02782c590a2ac05,2018-jpn,Race,2018-10-06 22:17:39-07:00,2018-10-06 22:17:39-07:00,7|33,2,Turn 17,other,,3,3,investigation,investigation,1,"[""TURN 17 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) UNDER INVESTIGATION""]",algorithmic_pending_human_validation,True
referral-dfd7834061de9145,2018-jpn,Race,2018-10-06 22:19:11-07:00,2018-10-06 22:29:22-07:00,16|20,2,Turn 1,other,,4,8,investigation|no_further_action,no_further_action,2,"[""TURN 1 INCIDENT INVOLVING CARS 16 (LEC) AND 20 (MAG) UNDER INVESTIGATION"", ""INCIDENT INVOLVING CARS 16 (LEC) AND 20 (MAG) - NO FURTHER ACTION""]",algorithmic_pending_human_validation,True
referral-3b157d65bae1f9e2,2018-jpn,Race,2018-10-06 22:21:46-07:00,2018-10-06 22:21:46-07:00,33,1,,track_limits,,5,5,sanction_announced,sanction_announced,1,"[""5 SECOND TIME PENALTY FOR CAR 33 (VER) - LEAVING THE TRACK AND NOT RETURNING SAFELY.""]",algorithmic_pending_human_validation,False
referral-aa9f483ff90d58d7,2018-jpn,Race,2018-10-06 22:25:58-07:00,2018-10-06 22:25:58-07:00,14|18,2,Turn 16,gaining_advantage_off_track,,7,7,investigation,investigation,1,"[""TURN 16 INCIDENT INVOLVING CARS 14 (ALO) AND 18 (STR) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",algorithmic_pending_human_validation,True
referral-f22cecd0b41a7712,2018-jpn,Race,2018-10-06 22:30:59-07:00,2018-10-06 22:30:59-07:00,5|33,2,Turn 13,causing_collision,,9,9,investigation,investigation,1,"[""TURN 13 INCIDENT INVOLVING CARS 5 (VET) AND 33 (VER) UNDER INVESTIGATION - CAUSING A COLLISION""]",algorithmic_pending_human_validation,True
referral-8d5f7e2ace41e877,2018-jpn,Race,2018-10-06 22:50:17-07:00,2018-10-06 22:50:17-07:00,14,1,,gaining_advantage_off_track,,22,22,sanction_announced,sanction_announced,1,"[""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",algorithmic_pending_human_validation,True
referral-c799612a04d6a745,2018-jpn,Race,2018-10-06 22:50:34-07:00,2018-10-06 22:50:34-07:00,18,1,,causing_collision,,22,22,sanction_announced,sanction_announced,1,"[""5 SECOND TIME PENALTY FOR CAR 18 (STR) - CAUSING A COLLISION""]",algorithmic_pending_human_validation,False
referral-060c21c946bad16a,2018-jpn,Race,2018-10-06 22:52:55-07:00,2018-10-06 22:52:55-07:00,5|33,2,Turn 13,other,,23,23,no_further_action,no_further_action,1,"[""TURN 13 INCIDENT INVOLVING CARS 5 (VET) AND 33 (VER) - NO FURTHER ACTION""]",algorithmic_pending_human_validation,False
referral-848ee8c26ffae67b,2018-mco,Race,2018-05-27 06:10:10-07:00,2018-05-27 06:32:16-07:00,35,1,,other,,1,16,noted|investigation|sanction_announced|no_further_action,sanction_announced,5,"[""INCIDENT INVOLVING CAR 35 (SIR) NOTED - WHEELS NOT FITTED AT THE 3 MINUTE SIGNAL"", ""INCIDENT INVOLVING CAR 35 (SIR) UNDER INVESTIGATION - WHEELS NOT FITTED AT THE 3 MINUTE SIGNAL"", ""10 SECOND STOP/GO PENALTY FOR CAR 35 (SIR) - WHEELS NOT FITTED AT THE 3 MINUTE SIGNAL"", ""INCIDENT INVOLVING CAR 35 (SIR) UNDER INVESTIGATION - WORKING ON THE CAR WHILE SERVING A 10 SECONDS STOP/GO PENALTY"", ""INCIDENT INVOLVING CAR 35 (SIR) - NO FURTHER ACTION""]",algorithmic_pending_human_validation,False
referral-442f630ee37ce7ac,2018-mco,Race,2018-05-27 06:32:46-07:00,2018-05-27 06:43:02-07:00,28,1,Pit Lane,other,,16,24,investigation|sanction_announced,sanction_announced,2,"[""INCIDENT INVOLVING CAR 28 (HAR) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE"", ""5 SECOND TIME PENALTY FOR CAR 28 (HAR) - SPEEDING IN THE PIT LANE""]",algorithmic_pending_human_validation,False
referral-b17d5267b718b8b8,2018-mex,Race,2018-10-28 13:13:51-07:00,2018-10-28 13:13:51-07:00,28|31,2,Turn 2,other,,44,44,investigation,investigation,1,"[""TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 28 (HAR) UNDER INVESTIGATION""]",algorithmic_pending_human_validation,True
