source_message_index,event_id,session_type,message_timestamp,message_lap,message,process_status,car_numbers,car_count,location,incident_lap_explicit,incident_family
1182,2018-jpn,Race,2018-10-06 22:52:55-07:00,23.0,TURN 13 INCIDENT INVOLVING CARS 5 (VET) AND 33 (VER) - NO FURTHER ACTION,no_further_action,5|33,2,Turn 13,,other
1225,2018-mco,Race,2018-05-27 06:10:10-07:00,1.0,INCIDENT INVOLVING CAR 35 (SIR) NOTED - WHEELS NOT FITTED AT THE 3 MINUTE SIGNAL,noted,35,1,,,other
1230,2018-mco,Race,2018-05-27 06:18:56-07:00,5.0,INCIDENT INVOLVING CAR 35 (SIR) UNDER INVESTIGATION - WHEELS NOT FITTED AT THE 3 MINUTE SIGNAL,investigation,35,1,,,other
1231,2018-mco,Race,2018-05-27 06:20:33-07:00,6.0,10 SECOND STOP/GO PENALTY FOR CAR 35 (SIR) - WHEELS NOT FITTED AT THE 3 MINUTE SIGNAL,sanction_announced,35,1,,,other
1238,2018-mco,Race,2018-05-27 06:28:57-07:00,13.0,INCIDENT INVOLVING CAR 35 (SIR) UNDER INVESTIGATION - WORKING ON THE CAR WHILE SERVING A 10 SECONDS STOP/GO PENALTY,investigation,35,1,,,other
1241,2018-mco,Race,2018-05-27 06:32:16-07:00,16.0,INCIDENT INVOLVING CAR 35 (SIR) - NO FURTHER ACTION,no_further_action,35,1,,,other
1242,2018-mco,Race,2018-05-27 06:32:46-07:00,16.0,INCIDENT INVOLVING CAR 28 (HAR) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,investigation,28,1,Pit Lane,,other
1246,2018-mco,Race,2018-05-27 06:43:02-07:00,24.0,5 SECOND TIME PENALTY FOR CAR 28 (HAR) - SPEEDING IN THE PIT LANE,sanction_announced,28,1,Pit Lane,,other
1369,2018-mex,Race,2018-10-28 13:13:51-07:00,44.0,TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 28 (HAR) UNDER INVESTIGATION,investigation,28|31,2,Turn 2,,other
1373,2018-mex,Race,2018-10-28 13:18:03-07:00,47.0,5 SECOND TIME PENALTY FOR CAR 28 (HAR) - CAUSING A COLLISION,sanction_announced,28,1,,,causing_collision
1395,2018-mex,Race,2018-10-28 13:29:36-07:00,56.0,TURN 4 INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) UNDER INVESTIGATION,investigation,10|31,2,Turn 4,,other
1407,2018-mex,Race,2018-10-28 13:33:24-07:00,58.0,TURN 4 INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) - NO FURTHER ACTION,no_further_action,10|31,2,Turn 4,,other
1446,2018-rus,Race,2018-09-30 04:42:39-07:00,18.0,TURN 2 INCIDENT INVOLVING CARS 5 (VET) AND 44 (HAM) UNDER INVESTIGATION - MOVING MORE THAN ONCE TO DEFEND THE POSITION,investigation,5|44,2,Turn 2,,other
1449,2018-rus,Race,2018-09-30 04:50:11-07:00,22.0,TURN 2 INCIDENT INVOLVING CARS 5 (VET) AND 44 (HAM) - NO FURTHER ACTION,no_further_action,5|44,2,Turn 2,,other
1515,2018-sgp,Race,2018-09-16 05:15:52-07:00,1.0,TURN 3 INCIDENT INVOLVING CARS 11 (PER) AND 31 (OCO) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,11|31,2,Turn 3,,causing_collision
1520,2018-sgp,Race,2018-09-16 05:22:55-07:00,4.0,TURN 3 INCIDENT INVOLVING CARS 11 (PER) AND 31 (OCO) - NO FURTHER ACTION,no_further_action,11|31,2,Turn 3,,other
1523,2018-sgp,Race,2018-09-16 06:20:14-07:00,36.0,TURN 18 INCIDENT INVOLVING CARS 11 (PER) AND 35 (SIR) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,11|35,2,Turn 18,,causing_collision
1538,2018-sgp,Race,2018-09-16 06:24:58-07:00,39.0,TURN 7 INCIDENT INVOLVING CARS 20 (MAG) AND 28 (HAR) UNDER INVESTIGATION,investigation,20|28,2,Turn 7,,other
1539,2018-sgp,Race,2018-09-16 06:25:29-07:00,39.0,INCIDENT INVOLVING CARS 8 (GRO) AND 35 (SIR) UNDER INVESTIGATION - IGNORING BLUE FLAGS,investigation,8|35,2,,,blue_flags
1543,2018-sgp,Race,2018-09-16 06:26:53-07:00,40.0,DRIVE THROUGH PENALTY FOR CAR 11 (PER) - CAUSING A COLLISION,sanction_announced,11,1,,,causing_collision
1547,2018-sgp,Race,2018-09-16 06:31:04-07:00,42.0,TURN 7 INCIDENT INVOLVING CARS 28 (HAR) AND 20 (MAG) - NO FURTHER ACTION,no_further_action,20|28,2,Turn 7,,other
