harm_record_id,canonical_incident_key,event_id,session_type,participant_driver_number,reference_driver_number,incident_lap,matched_laps_before,matched_laps_after,pace_change_seconds_per_lap,pace_change_standard_error,pace_change_ci95_low,pace_change_ci95_high,same_compound_fraction,pace_screen_status,damage_confirmation_status,interpretation
ae749b1554b6b633328e,incident-src-02b95aa6fb08b86f,2021-sau,Race,44,77,37,1,8,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
528e971b7a07f220b246,referral-92a69d6732b75346,2022-abu,Race,47,20,38,6,8,-0.8487083333333285,0.4096877621438021,-1.6516963471351807,-0.04572031953147637,0.7142857142857143,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
5eacf29d0690a7b4c63c,referral-356c0381e1def57c,2022-mex,Race,3,4,50,6,8,-0.6562916666666704,0.8436047218550364,-2.309756921502542,0.9971735881692011,0.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
d79b844aa102c5f3953d,referral-c809e324a033e4fc,2022-usa,Race,6,23,38,8,8,-0.36837499999999856,0.22866820844527463,-0.8165646885527369,0.07981468855273971,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
c205e74aba5783c16e3a,referral-c809e324a033e4fc,2022-usa,Race,47,20,38,6,8,0.6044166666666655,0.1836797090477685,0.2444044369330392,0.9644288964002918,0.21428571428571427,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
e85036e57c7c1df7aa49,referral-34475639550d3206,2023-ita,Race,44,63,41,8,8,-0.19050000000000367,0.21127321301034416,-0.6045954975002782,0.22359549750027086,0.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
1d966aaacb8fc007eb6e,referral-8fb16f079cf7e00b,2025-aze,Race,23,55,17,6,6,-1.3598333333333297,0.3612074273261217,-2.067799890892528,-0.6518667757741311,0.5,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
42723cdc94e1af089d8e,referral-39687112b09e6548,2025-gbr,Race,87,31,43,5,8,-0.24077499999999896,0.30486098808074896,-0.8383025366382669,0.356752536638269,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
ba12c85ad0e3b468e699,referral-da5b6ae5cfb3c8a1,2025-hun,Race,10,43,61,8,8,-0.14412499999999895,0.4776078856245097,-1.0802364558240378,0.79198645582404,0.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
87c518f59d6f805614e7,referral-da5b6ae5cfb3c8a1,2025-hun,Race,55,23,61,8,8,1.399000000000001,0.43982443737733107,0.536944102740432,2.2610558972595696,0.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
21da8e4ca49452c88062,referral-05462a009b963b4e,2025-ita,Race,55,23,40,8,6,0.4784999999999974,0.1342619507849178,0.21534657646155858,0.7416534235384362,0.5714285714285714,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
15cf88ba6e594bcde961,referral-05462a009b963b4e,2025-ita,Race,87,31,40,8,8,0.05612499999999976,0.10009592497414088,-0.14006301294931636,0.25231301294931585,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
